
Begin Step 0, Time: 0.02, Redshift: 49, Nf = 0134217728, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.020308, Redshift: 48.2417, Nf = 0006571554, Systemstep: 0.000307974, Dloga: 0.0152813

Begin Step 2, Time: 0.0206207, Redshift: 47.495, Nf = 0124310095, Systemstep: 0.000312716, Dloga: 0.0152813

Begin Step 3, Time: 0.0209382, Redshift: 46.7595, Nf = 0006603962, Systemstep: 0.000317532, Dloga: 0.0152813

Begin Step 4, Time: 0.0212606, Redshift: 46.0353, Nf = 0134217728, Systemstep: 0.000322421, Dloga: 0.0152813

Begin Step 5, Time: 0.021588, Redshift: 45.322, Nf = 0009938336, Systemstep: 0.000327386, Dloga: 0.0152813

Begin Step 6, Time: 0.0219205, Redshift: 44.6195, Nf = 0125854713, Systemstep: 0.000332428, Dloga: 0.0152813

Begin Step 7, Time: 0.022258, Redshift: 43.9277, Nf = 0009981966, Systemstep: 0.000337546, Dloga: 0.0152813

Begin Step 8, Time: 0.0226007, Redshift: 43.2463, Nf = 0134217728, Systemstep: 0.000342744, Dloga: 0.0152813

Begin Step 9, Time: 0.0229488, Redshift: 42.5753, Nf = 0014253845, Systemstep: 0.000348022, Dloga: 0.0152813

Begin Step 10, Time: 0.0233022, Redshift: 41.9145, Nf = 0127171902, Systemstep: 0.000353381, Dloga: 0.0152813

Begin Step 11, Time: 0.023661, Redshift: 41.2637, Nf = 0014308958, Systemstep: 0.000358823, Dloga: 0.0152813

Begin Step 12, Time: 0.0240253, Redshift: 40.6228, Nf = 0134217728, Systemstep: 0.000364348, Dloga: 0.0152813

Begin Step 13, Time: 0.0243953, Redshift: 39.9915, Nf = 0019486173, Systemstep: 0.000369959, Dloga: 0.0152813

Begin Step 14, Time: 0.0247709, Redshift: 39.3699, Nf = 0128290551, Systemstep: 0.000375656, Dloga: 0.0152813

Begin Step 15, Time: 0.0251524, Redshift: 38.7577, Nf = 0019550664, Systemstep: 0.00038144, Dloga: 0.0152813

Begin Step 16, Time: 0.0255397, Redshift: 38.1547, Nf = 0134217728, Systemstep: 0.000387314, Dloga: 0.0152813

Begin Step 17, Time: 0.025933, Redshift: 37.561, Nf = 0025536498, Systemstep: 0.000393278, Dloga: 0.0152813

Begin Step 18, Time: 0.0263323, Redshift: 36.9762, Nf = 0129235343, Systemstep: 0.000399334, Dloga: 0.0152813

Begin Step 19, Time: 0.0267378, Redshift: 36.4003, Nf = 0025609410, Systemstep: 0.000405483, Dloga: 0.0152813

Begin Step 20, Time: 0.0271495, Redshift: 35.8331, Nf = 0134217728, Systemstep: 0.000411727, Dloga: 0.0152813

Begin Step 21, Time: 0.0275676, Redshift: 35.2745, Nf = 0032264483, Systemstep: 0.000418067, Dloga: 0.0152813

Begin Step 22, Time: 0.0279921, Redshift: 34.7244, Nf = 0130033813, Systemstep: 0.000424505, Dloga: 0.0152813

Begin Step 23, Time: 0.0284231, Redshift: 34.1826, Nf = 0032345644, Systemstep: 0.000431042, Dloga: 0.0152813

Begin Step 24, Time: 0.0288608, Redshift: 33.6491, Nf = 0134217728, Systemstep: 0.000437679, Dloga: 0.0152813

Begin Step 25, Time: 0.0293052, Redshift: 33.1236, Nf = 0039501719, Systemstep: 0.000444419, Dloga: 0.0152813

